MATCH,MATCH2,PLAYER,TEAM,NAME,POS,PC ,PA ,PC/PA,PR,MIN,GS,SG,S,FC,FS,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_L,A_M,A_H,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_penalty_area,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Low_activity_time_spent,Medium_activity_time_spent,High_activity_time_spent,Distance_covered_m,Low_ADC_m,Medium_ADC_m,High_ADC_m,Top_Speed,Sprints
64,64,1,NED,Maarten STEKELENBURG ,GK,35,54,65,35,120,0,0,0,0,0,5701,2103,1779,,,,6,15.3,97,2,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,4,"129'20""",0.97,0.02,0.01,5701,4848,385,470,15.3,6
64,64,2,NED,Gregory VAN DER WIEL ,D,31,54,57,26,120,0,0,0,2,2,13773,4305,6176,19,2,,127,24.32,81,9,10,0,0,0,0,0,1,0,2,2,1,0,0,0,2,0,0,"129'20""",0.81,0.09,0.1,13773,7729,2333,3711,24.32,127
64,64,3,NED,John HEITINGA ,D,27,45,60,24,109,0,0,0,2,0,10449,3406,4364,5,4,2,72,19.87,87,7,6,0,0,0,1,1,2,1,2,1,0,0,1,0,0,0,1,"115'08""",0.87,0.07,0.06,10449,6709,1569,2171,19.87,72
64,64,4,NED,Joris MATHIJSEN ,D,33,48,69,28,120,0,0,1,3,0,11852,3637,4772,7,5,2,86,26.2,86,6,8,0,1,0,0,0,1,0,3,0,1,0,0,0,0,1,5,"129'20""",0.86,0.06,0.08,11852,7701,1616,2535,26.2,86
64,64,5,NED,Giovanni VAN BRONCKHORST ,D,29,39,74,18,104,0,0,0,4,1,10799,3410,4791,16,3,,85,26.24,85,8,7,0,0,0,0,0,1,0,4,4,0,1,1,0,0,0,1,"109'59""",0.85,0.08,0.07,10799,6681,1674,2442,26.24,85
64,64,6,NED,Mark VAN BOMMEL ,M,27,46,59,25,120,0,0,0,5,3,12023,3227,5829,30,3,,99,23.49,85,7,8,0,0,0,0,0,1,0,5,2,1,0,1,0,0,0,1,"129'20""",0.85,0.07,0.08,12023,7368,1858,2796,23.49,99
64,64,7,NED,Dirk KUYT ,F,11,18,61,20,71,0,1,1,2,1,7680,2567,2954,52,20,4,79,23.38,83,8,9,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,1,"72'32""",0.83,0.08,0.09,7680,4379,1222,2079,23.38,79
64,64,8,NED,Nigel DE JONG ,M,25,37,68,21,99,0,0,1,1,2,10779,3092,4954,25,5,1,91,25.33,84,8,8,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,"104'19""",0.84,0.08,0.08,10779,6647,1727,2406,25.33,91
64,64,9,NED,Robin VAN PERSIE ,F,19,31,61,21,120,0,0,1,2,2,13916,4645,5298,74,32,7,125,23.82,83,8,9,0,1,0,3,0,1,0,2,3,0,0,0,0,0,0,0,"129'20""",0.83,0.08,0.09,13916,8645,2050,3221,23.82,125
64,64,10,NED,Wesley SNEIJDER ,M,28,46,61,29,120,0,1,5,2,2,13383,4239,5601,59,18,1,111,26.61,82,8,10,0,4,0,1,0,0,0,2,2,3,1,0,1,0,1,1,"129'20""",0.82,0.08,0.1,13383,7646,2233,3504,26.61,111
64,64,11,NED,Arjen ROBBEN ,F,14,31,45,27,120,0,3,4,2,4,13011,4107,5151,63,23,1,139,30.88,86,6,8,0,4,0,2,0,1,0,2,2,2,0,0,1,0,0,0,"129'20""",0.86,0.06,0.08,13011,8441,1427,3143,30.88,139
64,64,15,NED,Edson BRAAFHEID ,D,4,7,57,4,16,0,0,0,1,0,1814,486,649,27,5,,16,31.5,84,7,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"19'21""",0.84,0.07,0.09,1814,1071,269,473,31.5,16
64,64,17,NED,Eljero ELIA ,F,4,11,36,10,49,0,0,0,1,1,6187,1905,2630,47,25,3,77,25.94,82,7,11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"56'48""",0.82,0.07,0.11,6187,3354,862,1973,25.94,77
64,64,23,NED,Rafael VAN DER VAART ,M,7,8,88,6,21,0,0,0,1,0,2851,927,1113,45,26,5,34,21.67,77,10,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"25'01""",0.77,0.1,0.13,2851,1479,485,886,21.67,34
64,64,1,ESP,Iker CASILLAS ,GK,22,35,63,11,120,0,0,0,0,0,4520,1409,1469,,,,12,20.81,98,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,"129'20""",0.98,0.01,0.01,4520,3960,181,381,20.81,12
64,64,3,ESP,Gerard PIQUE ,D,51,60,85,47,120,0,0,0,0,0,12077,4630,4045,14,5,3,102,24.57,86,7,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,"129'20""",0.86,0.07,0.07,12077,7745,1697,2633,24.57,102
64,64,5,ESP,Carles PUYOL ,D,54,62,87,45,120,0,0,1,1,1,11843,4106,4321,11,4,2,83,28.15,88,6,6,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,5,"129'20""",0.88,0.06,0.06,11843,7774,1650,2420,28.15,83
64,64,6,ESP,Andres INIESTA ,M,41,70,59,62,120,1,1,1,4,8,14028,5937,4494,73,27,3,136,23.13,81,10,9,1,1,0,0,0,1,0,4,5,2,0,0,1,2,0,0,"129'20""",0.81,0.1,0.09,14028,8220,2549,3259,23.13,136
64,64,7,ESP,David VILLA ,F,13,25,52,26,105,0,1,6,0,2,9598,4070,2981,92,60,11,124,26.49,88,5,7,0,6,0,5,0,0,0,0,3,0,0,0,0,0,0,0,"111'29""",0.88,0.05,0.07,9598,6268,999,2332,26.49,124
64,64,8,ESP,XAVI ,M,80,99,81,74,120,0,0,2,0,4,14987,6547,4567,61,20,1,123,22.52,76,12,12,0,2,0,0,0,1,0,0,8,7,0,0,0,1,0,0,"129'20""",0.76,0.12,0.12,14987,7533,3089,4363,22.52,123
64,64,11,ESP,Joan CAPDEVILA ,D,53,71,75,43,120,0,1,1,1,1,12331,4655,4119,27,7,2,86,21.67,87,7,6,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,1,"129'20""",0.87,0.07,0.06,12331,8123,1774,2433,21.67,86
64,64,14,ESP,XABI ALONSO ,M,41,53,77,42,87,0,0,1,2,1,10223,4299,3638,45,13,,100,24.39,77,10,13,0,1,0,0,0,0,0,2,4,3,1,0,0,0,0,0,"88'30""",0.77,0.1,0.13,10223,5271,1925,3027,24.39,100
64,64,15,ESP,SERGIO RAMOS ,D,54,73,74,44,120,0,1,2,2,4,12887,4964,4220,39,12,3,125,26.61,84,8,8,0,2,0,0,0,1,0,2,6,0,1,0,0,0,0,0,"129'20""",0.84,0.08,0.08,12887,7752,1962,3174,26.61,125
64,64,16,ESP,Sergio BUSQUETS ,M,70,80,88,61,120,0,0,0,4,4,13043,4907,4797,27,4,,113,22.63,84,8,8,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,"129'20""",0.84,0.08,0.08,13043,7896,2074,3072,22.63,113
64,64,18,ESP,PEDRO ,F,13,20,65,27,60,0,0,1,3,2,6500,2645,2030,76,24,2,76,23.2,84,7,9,0,1,0,0,0,0,0,3,5,1,0,0,0,0,0,0,"61'55""",0.84,0.07,0.09,6500,4060,906,1534,23.2,76
64,64,9,ESP,Fernando TORRES ,F,2,3,67,3,15,0,0,0,1,0,1687,569,441,80,51,7,27,23.2,87,6,7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"17'51""",0.87,0.06,0.07,1687,1042,215,430,23.2,27
64,64,10,ESP,Cesc FABREGAS ,M,31,38,82,34,33,0,1,2,1,0,5135,2170,1542,49,17,2,41,21.11,72,14,14,0,2,1,0,0,0,0,1,6,1,0,0,0,0,0,0,"40'50""",0.72,0.14,0.14,5135,2539,1086,1510,21.11,41
64,64,22,ESP,Jesus NAVAS ,F,17,26,65,23,60,0,1,2,0,1,7503,3191,2163,69,33,3,72,31.5,82,8,10,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,"67'25""",0.82,0.08,0.1,7503,4189,1118,2195,31.5,72
63,63,1,URU,Fernando MUSLERA ,GK ,12,23,52,3,90,0,0,0,0,0,3156,1064,1235,,,,9,20.7,99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,2,URU,Diego LUGANO ,D ,27,34,79,28,90,0,0,0,1,0,9046,2771,4232,8,2,1,63,20.65,88,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,3,URU,Diego GODIN ,D ,31,45,69,22,90,0,0,0,2,0,9974,3160,4528,12,4,2,109,24.53,87,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,4,URU,Jorge FUCILE ,D ,45,70,64,44,90,0,0,0,2,2,9984,3540,4507,24,7,,139,24.53,83,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
